gene,tpm
RSPO1,0.0
C1orf109,19.17
CDCA8,92.53
EPHA10,0.0173
MANEAL,1.21
YRDC,47.42
C1orf122,21.57
MTF1,9.539
INPP5B,30.03
SF3A3,66.22
FHL3,25.56
UTP11,28.63
POU3F1,0.595
LINC01343,0.0
RRAGC,41.83
RHBDL2,0.07799
AKIRIN1,90.48
MACF1,27.7
BMP8A,0.5211
PPIEL,0.2417
HEYL,0.3363
NT5C1A,0.0
HPCAL4,0.04135
PPIE,25.81
BMP8B,3.952
OXCT2,1.498
TRIT1,37.11
MYCL,1.329
MFSD2A,11.32
CAP1,293.4
PPT1,69.18
RLF,42.31
TMCO2,0.0
ZMPSTE24,26.12
COL9A2,64.0
SMAP2,222.5
ZFP69B,9.535
ZFP69,9.666
EXO5,7.253
ZNF684,3.534
RIMS3,1.598
NFYC-AS1,8.733
NFYC,36.89
KCNQ4,0.883
CITED4,0.5717
CTPS1,32.61
SLFNL1-AS1,1.501
SLFNL1,0.931
SCMH1,38.63
FOXO6,0.0
EDN2,0.0
HIVEP3,3.906
GUCA2B,0.0
GUCA2A,0.0
FOXJ3,49.34
RIMKLA,1.698
ZMYND12,1.011
PPCS,61.95
CCDC30,0.3868
PPIH,65.46
YBX1,1108.0
CLDN19,0.03798
P3H1,20.75
C1orf50,18.44
SVBP,13.19
ERMAP,3.697
ZNF691,16.73
SLC2A1,56.14
CFAP57,0.5103
TMEM125,0.03216
C1orf210,0.0
TIE1,0.562
MPL,0.1075
CDC20,121.8
MED8,45.12
SZT2,11.89
HYI-AS1,0.0
PTPRF,1.239
KDM4A,22.17
ST3GAL3,7.632
ARTN,2.29
IPO13,13.52
DPH2,48.23
ATP6V0B,58.86
B4GALT2,22.72
CCDC24,2.154
SLC6A9,4.667
KLF17,0.0
DMAP1,28.37
ERI3,31.87
RNF220,16.26
TMEM53,2.844
KIF2C,84.69
RPS8,2735.0
BEST4,0.2673
PLK3,13.13
BTBD19,1.299
PTCH2,0.6114
EIF2B3,19.98
HECTD3,24.06
UROD,28.44
ZSWIM5,0.1503
LINC01144,2.296
HPDL,9.699
MUTYH,20.93
TOE1,17.28
TESK2,18.66
CCDC163,12.91
MMACHC,5.623
PRDX1,440.8
AKR1A1,107.1
NASP,85.54
CCDC17,1.092
GPBP1L1,60.6
