idx	gene_symbol
511	ANKRD50
512	ANKRD54
513	ANKRD55
514	ANKRD6
515	ANKRD7
516	ANKRD9
517	ANKS1A
518	ANKS1B
519	ANKS3
520	ANKS6
521	ANKZF1
522	ANO1
523	ANO10
524	ANO2
525	ANO3
526	ANO7
527	ANOS1
528	ANP32A
529	ANP32B
530	ANP32C
531	ANP32E
532	ANPEP
533	ANTXR1
534	ANTXR2
535	ANXA1
536	ANXA11
537	ANXA2
538	ANXA2P1
539	ANXA2P2
540	ANXA2P3
541	ANXA2R
542	ANXA3
543	ANXA4
544	ANXA5
545	ANXA6
546	ANXA7
547	ANXA9
548	AOAH
549	AOC1
550	AOC2
551	AOC3
552	AOX1
553	AP1AR
554	AP1B1
555	AP1G1
556	AP1G2
557	AP1M1
558	AP1M2
559	AP1S1
560	AP1S2
561	AP2A1
562	AP2A2
563	AP2B1
564	AP2M1
565	AP2S1
566	AP3B1
567	AP3B2
568	AP3D1
569	AP3M1
570	AP3M2
571	AP3S1
572	AP4B1
573	AP4E1
574	AP4M1
575	AP4S1
576	AP5B1
577	AP5M1
578	AP5S1
579	APAF1
580	APBA2
581	APBA3
582	APBB1
583	APBB1IP
584	APBB2
585	APC
586	APC2
587	APCDD1
588	APCS
589	APEH
590	APEX1
591	APEX2
592	APH1A
593	APH1B
594	API5
595	APIP
596	APLP1
597	APLP2
598	APMAP
599	APOBEC3C
600	APOBEC3F
601	APOBEC3G
602	APOBR
603	APOC1
604	APOD
605	APOE
606	APOL1
607	APOL2
608	APOL3
609	APOL4
610	APOL6
611	APOLD1
612	APOM
613	APOO
614	APOOL
615	APP
616	APPBP2
617	APPL1
618	APPL2
619	APRT
620	APTX
621	AQP1
622	AQP10
623	AQP3
624	AQP4
625	AQP6
626	AQP9
627	AQR
628	AR
629	ARAF
630	ARAP1
631	ARAP2
632	ARAP3
633	ARCN1
634	ARF1
635	ARF3
636	ARF4
637	ARF5
638	ARF6
639	ARFGAP1
640	ARFGAP2
641	ARFGAP3
642	ARFGEF1
643	ARFGEF2
644	ARFIP1
645	ARFIP2
646	ARFRP1
647	ARG1
648	ARG2
649	ARGLU1
650	ARHGAP1
651	ARHGAP10
652	ARHGAP11A
653	ARHGAP12
654	ARHGAP17
655	ARHGAP18
656	ARHGAP19
657	ARHGAP21
658	ARHGAP24
659	ARHGAP25
660	ARHGAP26
661	ARHGAP27
662	ARHGAP29
663	ARHGAP30
664	ARHGAP32
665	ARHGAP33
666	ARHGAP35
667	ARHGAP4
668	ARHGAP42
669	ARHGAP44
670	ARHGAP45
671	ARHGAP5
672	ARHGAP6
673	ARHGAP9
674	ARHGDIA
675	ARHGDIB
676	ARHGDIG
677	ARHGEF1
678	ARHGEF10
679	ARHGEF10L
680	ARHGEF11
681	ARHGEF12
682	ARHGEF15
683	ARHGEF16
684	ARHGEF17
685	ARHGEF18
686	ARHGEF19
687	ARHGEF2
688	ARHGEF25
689	ARHGEF28
690	ARHGEF3
691	ARHGEF37
692	ARHGEF4
693	ARHGEF40
